pickup_latitude,pickup_longitude
40.719849,-73.987556
40.761646,-73.993942
40.771572,-73.986801
40.747856,-73.978760
40.737316,-73.992683
40.751640,-73.992813
40.646210,-73.791077
40.717941,-73.831757
40.760006,-73.988007
40.762039,-73.993385
40.768997,-73.982384
40.743725,-74.006081
40.745007,-74.006165
40.755638,-73.986626
40.755493,-73.968140
40.692719,-73.993118
40.715431,-74.007469
40.737358,-73.996941
40.720764,-73.988022
40.753433,-73.985176
40.778084,-73.974571
40.774078,-73.874496
40.778538,-73.951172
40.748280,-73.976418
40.758846,-73.985733
40.773743,-73.870949
40.750153,-73.987167
40.765617,-73.960701
40.733269,-74.005226
40.744709,-74.002625
40.745022,-73.998680
40.755913,-73.971565
40.761013,-73.978104
40.753334,-73.972015
40.751652,-73.993095
40.761944,-73.986404
40.767883,-73.966194
40.759171,-73.965446
40.748066,-73.976807
40.763931,-73.971596
40.763000,-73.977440
40.760441,-73.967400
40.773117,-73.885330
40.741352,-73.981186
40.747913,-73.987045
40.774090,-73.874619
40.641537,-73.788963
40.761467,-73.992203
40.749863,-73.995132
40.757042,-73.989952
40.727428,-74.000679
40.733654,-73.999527
40.762321,-73.970062
40.752281,-73.974960
40.745224,-73.994598
40.729713,-73.991585
40.705894,-74.008095
40.762329,-73.975685
40.718834,-73.989021
40.685085,-73.806740
40.714172,-73.824669
40.760872,-73.981705
40.779819,-73.950653
40.770512,-73.957825
40.760826,-73.976639
40.736938,-74.005409
40.757259,-73.969788
40.744064,-73.983376
40.726032,-73.983360
40.719654,-74.004120
40.746094,-73.994141
40.744289,-73.979240
40.763538,-73.996376
40.730995,-74.001442
40.734173,-74.002487
40.722103,-73.992020
40.756874,-73.967270
40.726585,-73.991615
40.753811,-73.977180
40.730335,-74.004700
40.773254,-73.982269
40.756561,-73.993919
40.752167,-74.004585
40.757813,-73.986893
40.760838,-73.998596
40.735420,-73.989998
40.724945,-73.987221
40.721451,-74.004608
40.721882,-73.991966
40.714836,-74.015320
40.752369,-73.980522
40.768990,-73.987953
40.759159,-73.989273
40.644768,-73.781860
40.645576,-73.799751
40.762653,-73.979103
40.749947,-73.976875
40.726181,-73.989510
40.764835,-73.927185
40.723682,-73.988052
40.714973,-74.009621
40.729118,-74.002449
40.734268,-74.002487
40.751823,-73.973763
40.821896,-74.218605
40.750088,-74.002556
40.750305,-74.002419
40.722202,-73.993248
40.750771,-73.971794
40.760876,-73.980057
40.751152,-73.994049
40.746891,-73.980247
40.755928,-73.981613
40.643784,-73.783440
40.774464,-73.989128
40.774498,-73.989105
40.748207,-73.988838
40.776470,-73.952660
40.735531,-73.998512
40.650040,-73.804558
40.731468,-73.994934
40.746304,-73.971954
40.744419,-74.002808
40.751980,-73.970772
40.742062,-74.003990
40.737831,-73.980934
40.725689,-73.990128
40.720783,-73.990662
40.733116,-73.987259
40.792046,-73.964989
40.762058,-73.985481
40.749680,-73.994179
40.757515,-73.972855
40.752289,-73.993050
40.747669,-73.980736
40.752239,-73.975510
40.760010,-73.964882
40.750336,-73.975288
40.763084,-73.984711
40.756294,-73.990479
40.759918,-73.972046
40.641975,-73.786064
40.645084,-73.792168
40.645222,-73.791656
40.753002,-73.992630
40.756783,-74.001472
40.760616,-73.976219
40.773708,-73.870911
40.730183,-73.989433
40.755322,-73.991386
40.753956,-73.969681
40.719543,-74.001854
40.715172,-74.016304
0.000000,0.000000
40.734959,-74.008469
40.707352,-74.004997
40.707352,-74.004997
40.755524,-73.972580
40.758892,-73.965637
40.752403,-73.977921
40.752319,-73.974495
40.761227,-73.974167
40.739735,-74.002968
40.731731,-73.985420
40.782478,-73.971436
40.766376,-73.953850
40.720787,-74.001015
40.774536,-73.988747
40.736794,-73.990608
40.768719,-73.981346
